project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
Capsol feasibility study cement Germany,Germany,Europe,Europe,Planned,Industry,Capture,,Dedicated storage,,,2024,400000.0,0.4,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Malarenergi waste to energy Vasteras,Sweden,Europe,Europe,Planned,Power and heat,Capture,,,,,2024,400000.0,0.4,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
GeoDura Carbon Storage Hub (LA),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2024,9000000.0,9.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
St. Mary Parish Carbon Storage Hub (LA),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Whites Bayou (TX),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2024,500000.0,0.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Port Arthur LNG - Titan Carbon sequestration project (TX),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2023,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Rose carbon capture and storage (TX),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2026,2024,2200000.0,2.2,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Florida DAC hub (FL),United States,United States,North America,Planned,DAC,Capture,,Dedicated storage,,,2023,50000.0,0.05,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Colorado (Pueblo) DAC hub (CO),United States,United States,North America,Planned,DAC,Capture,,Dedicated storage,,,2023,50000.0,0.05,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Redbud CCS hub (Tri-state CCS hub) (WV),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2030,2023,1591000.0,1.591,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Buckeye CCS hub (Tri-state CCS hub) (OH),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2030,2023,2727000.0,2.727,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Beaumont sequestration project (TX),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2023,250000.0,0.25,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Brown  (MI),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2023,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Windsor FRE ethanol plant - front range 1-1 (CO),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2022,128000.0,0.128,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Texas Gulf Coast CCS Refugio (TX),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Vault Aster storage (IN),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Valero Linden plant (IA),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,,2024,700000.0,0.7,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Carbon TerraVault 6 (CA),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2027,2024,2500000.0,2.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Mountaineer sequestration (WV),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,1000000.0,1.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
High plains carbon storage (NE),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Block energy CCS project,Georgia,Georgia,Eurasia,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Sullom voe terminal and Shetland basin hub (SVT) - Thistle injection phase 1,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2033,2023,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Shetland Offshore power generation,United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2029,2024,1000000.0,1.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Donaldsville CO2 storage (TX),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Maurepas WMA sequestration project (LA),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Orchard One (WY),United States,United States,North America,Planned,DAC,Capture,,Dedicated storage,,2027,2024,2000000.0,2.0,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Casper Carbon Storage Hub (WY),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,2027,2024,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Aramco gas plants (3 facilities),Saudi Arabia,Saudi Arabia,Middle East,Under construction,Fuel transformation,Capture,,Dedicated storage,,2027,2022,6000000.0,6.0,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
San Patricio-Aransas-Nueces CO2 Infrastructure Project (TX),United States,United States,North America,Planned,CO2 T&S,Transport,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Petronas Kuantan hub,Malaysia,Malaysia,Other Asia Pacific,Planned,CO2 T&S,T&S,,,,2029,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Petronas Kerteh hub,Malaysia,Malaysia,Other Asia Pacific,Planned,CO2 T&S,T&S,,,,2030,2024,5000000.0,5.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
BEA Alizay,France,Europe,Europe,Planned,Power and heat,CCU,,,,2029,2024,350000.0,0.35,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Papetier Sylvamo Saillat sur Vienne,France,Europe,Europe,Planned,Industry,CCU,,,,2029,2024,600000.0,0.6,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
ReSTart Usine RYAM Tartas,France,Europe,Europe,Planned,Industry,CCU,,,,2029,2024,330000.0,0.33,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Rayonier carbon storage agreement (AL),United States,United States,North America,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Carbon TerraVault 1 (CA),United States,United States,North America,Under construction,CO2 T&S,Storage,,Dedicated storage,,2026,2022,1600000.0,1.6,,,Under construction,CO2 T&S,IEA-CCUS-2026.xlsx,under_construction
Project Concho (TX) phase 1,United States,United States,North America,Planned,DAC,Full chain,,Dedicated storage,,2030,2024,50000.0,0.05,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Project Concho (TX) phase 2,United States,United States,North America,Planned,DAC,Full chain,,Dedicated storage,,,2024,450000.0,0.45,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Ankeron Carbon Management Hub (WA),United States,United States,North America,Planned,DAC,Full chain,,Dedicated storage,,2030,2023,,,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
